"STATION","species1","species2","overlap"
"PATT","HOWR","PISI",0.599580141078783
"PATT","HOWR","AMGO",0.0360749016528448
"PATT","VEER","AMRO",0.0140723218918021
"PATT","VEER","CEDW",0.632590853864856
"PATT","VEER","OCWA",0.428990487353316
"PATT","VEER","YEWA",0.80903367868102
"PATT","VEER","AUWA",0.419386480331425
"PATT","VEER","MGWA",0.631011400569987
"PATT","VEER","YBCH",3.62945398895484e-16
"PATT","VEER","WETA",0.176288217961233
"PATT","VEER","GTTO",4.11926709679982e-07
"PATT","VEER","SPTO",0.00446864027518855
"PATT","VEER","SOSP",0.843349134890482
"PATT","VEER","LAZB",0.0492334203887549
"PATT","VEER","BUOR",0.502198279500202
"PATT","VEER","PISI",0.0176378328738428
"PATT","VEER","AMGO",0.397558682670028
"PATT","AMRO","CEDW",0.00291354027745475
"PATT","AMRO","OCWA",0.112814401551371
"PATT","AMRO","YEWA",0.00441860237067662
"PATT","AMRO","AUWA",0.0305641078551294
"PATT","AMRO","MGWA",0.0692260728231446
"PATT","AMRO","YBCH",0.101827921871128
"PATT","AMRO","WETA",0.502889973865247
"PATT","AMRO","GTTO",0.357844489563309
"PATT","AMRO","SPTO",0.796583692797314
"PATT","AMRO","SOSP",0.00889622190396571
"PATT","AMRO","LAZB",0.714246078785564
"PATT","AMRO","BUOR",0.000908571842647863
"PATT","AMRO","PISI",0.564198071454653
"PATT","AMRO","AMGO",0.00524482993292988
"PATT","CEDW","OCWA",0.299023034982397
"PATT","CEDW","YEWA",0.536111519003031
"PATT","CEDW","AUWA",0.711405040357397
"PATT","CEDW","MGWA",0.490324138364949
"PATT","CEDW","YBCH",2.3636955973796e-16
"PATT","CEDW","WETA",0.104526226381487
"PATT","CEDW","GTTO",1.34012065218014e-08
"PATT","CEDW","SPTO",0.000456756549245004
"PATT","CEDW","SOSP",0.533378327567724
"PATT","CEDW","LAZB",0.0188919284843773
"PATT","CEDW","BUOR",0.221020519294026
"PATT","CEDW","PISI",0.00149213597689689
"PATT","CEDW","AMGO",0.712909644825253
"PATT","OCWA","YEWA",0.350411236324299
"PATT","OCWA","AUWA",0.263302099870041
"PATT","OCWA","MGWA",0.5805610882169
"PATT","OCWA","YBCH",1.61948511497185e-06
"PATT","OCWA","WETA",0.349762534181634
"PATT","OCWA","GTTO",0.00173666438780935
"PATT","OCWA","SPTO",0.0796120479653645
"PATT","OCWA","SOSP",0.381116183399471
"PATT","OCWA","LAZB",0.124010040431838
"PATT","OCWA","BUOR",0.200497608399798
"PATT","OCWA","PISI",0.19208953149999
"PATT","OCWA","AMGO",0.23125958432181
"PATT","YEWA","AUWA",0.321624381423376
"PATT","YEWA","MGWA",0.531692563045689
"PATT","YEWA","YBCH",1.50819070973423e-16
"PATT","YEWA","WETA",0.145564133196703
"PATT","YEWA","GTTO",1.42450567653388e-11
"PATT","YEWA","SPTO",0.00051780364427464
"PATT","YEWA","SOSP",0.916160062419014
"PATT","YEWA","LAZB",0.0378645626554464
"PATT","YEWA","BUOR",0.546101390362112
"PATT","YEWA","PISI",0.00323033216589946
"PATT","YEWA","AMGO",0.30167391755331
"PATT","AUWA","MGWA",0.386753650174504
"PATT","AUWA","YBCH",3.21065225258287e-10
"PATT","AUWA","WETA",0.0986344673584452
"PATT","AUWA","GTTO",0.000111199052375935
"PATT","AUWA","SPTO",0.0202013329526985
"PATT","AUWA","SOSP",0.313488863387112
"PATT","AUWA","LAZB",0.0345565166873726
"PATT","AUWA","BUOR",0.0853111204947734
"PATT","AUWA","PISI",0.0313175251170815
"PATT","AUWA","AMGO",0.874207397916889
"PATT","MGWA","YBCH",0.00548360760347286
"PATT","MGWA","WETA",0.24688719497099
"PATT","MGWA","GTTO",0.0416936805165269
"PATT","MGWA","SPTO",0.0535843820579685
"PATT","MGWA","SOSP",0.577219318192206
"PATT","MGWA","LAZB",0.0961250067189681
"PATT","MGWA","BUOR",0.363325849308423
"PATT","MGWA","PISI",0.0774697878141141
"PATT","MGWA","AMGO",0.346580648244297
"PATT","YBCH","WETA",0.0379693432036355
"PATT","YBCH","GTTO",0.241913921707162
"PATT","YBCH","SPTO",0.107134672584249
"PATT","YBCH","SOSP",1.25330596737054e-16
"PATT","YBCH","LAZB",0.0963756590700542
"PATT","YBCH","BUOR",2.32133041871443e-16
"PATT","YBCH","PISI",0.0908290739607389
"PATT","YBCH","AMGO",1.76999605100464e-16
"PATT","WETA","GTTO",0.187338281851768
"PATT","WETA","SPTO",0.348137242708265
"PATT","WETA","SOSP",0.175999980184689
"PATT","WETA","LAZB",0.313152827920271
"PATT","WETA","BUOR",0.0972558122991083
"PATT","WETA","PISI",0.37869096322508
"PATT","WETA","AMGO",0.0816080150258721
"PATT","GTTO","SPTO",0.370570335835087
"PATT","GTTO","SOSP",1.28050572025213e-09
"PATT","GTTO","LAZB",0.233000146470172
"PATT","GTTO","BUOR",2.8224196111207e-16
"PATT","GTTO","PISI",0.211759945937204
"PATT","GTTO","AMGO",1.62928151163156e-09
"PATT","SPTO","SOSP",0.00176637516631947
"PATT","SPTO","LAZB",0.771375902989354
"PATT","SPTO","BUOR",2.46510806286397e-05
"PATT","SPTO","PISI",0.428651941801265
"PATT","SPTO","AMGO",0.00094058939856111
